日期,收盘,开盘,高,低,交易量,涨跌幅
2019年9月10日,97.857,97.87,97.995,97.79,6.21K,0.06%
2019年9月9日,97.803,97.975,98.04,97.665,20.11K,-0.12%
2019年9月6日,97.925,97.975,98.05,97.71,10.16K,-0.02%
2019年9月5日,97.942,97.945,98.07,97.58,1.36K,-0.02%
2019年9月4日,97.958,98.49,98.49,97.92,1.23K,-0.57%
2019年9月3日,98.519,98.635,98.9,98.435,1.14K,0.10%
2019年9月2日,98.418,98.345,98.64,98.29,1.03K,0.00%
2019年8月30日,98.418,97.95,98.53,97.87,0.46K,0.40%
2019年8月29日,98.027,97.725,98.06,97.685,0.44K,0.33%
2019年8月28日,97.7,97.51,97.755,97.505,0.29K,0.22%
2019年8月27日,97.49,97.53,97.54,97.37,0.21K,-0.09%
2019年8月26日,97.579,97.1,97.57,96.96,0.27K,0.48%
2019年8月23日,97.11,97.69,97.95,97.06,0.51K,-0.55%
2019年8月22日,97.649,97.775,97.85,97.545,0.26K,-0.12%
2019年8月21日,97.771,97.685,97.785,97.605,0.66K,0.11%
2019年8月20日,97.668,97.83,97.92,97.61,0.11K,-0.16%
2019年8月19日,97.821,97.645,97.865,97.61,0.05K,0.22%
2019年8月16日,97.607,97.645,97.805,97.61,0.05K,0.01%
2019年8月15日,97.6,97.42,97.65,97.28,0.08K,0.19%
2019年8月14日,97.416,97.215,97.465,97.105,0.20K,0.19%
2019年8月13日,97.231,96.87,97.25,96.785,0.22K,0.44%
2019年8月12日,96.803,96.935,97.15,96.735,0.07K,-0.13%
2019年8月9日,96.927,96.965,96.995,96.815,0.10K,-0.12%
2019年8月8日,97.04,96.99,97.135,96.87,0.23K,0.08%
2019年8月7日,96.96,96.945,97.075,96.75,0.24K,-0.06%
2019年8月6日,97.016,96.62,97.115,96.6,0.12K,0.12%
2019年8月5日,96.898,97.435,97.435,96.79,0.31K,-0.52%
2019年8月2日,97.402,97.64,97.74,97.405,0.10K,-0.28%
2019年8月1日,97.674,97.96,98.225,97.6,0.22K,-0.11%
2019年7月31日,97.783,97.33,97.975,97.325,0.13K,0.46%
2019年7月30日,97.334,97.37,97.485,97.32,0.02K,0.01%
2019年7月29日,97.321,97.23,97.4,97.18,0.04K,0.05%
2019年7月26日,97.276,97.05,97.35,97.035,0.20K,0.19%
2019年7月25日,97.087,96.99,97.18,96.78,0.32K,0.10%
2019年7月24日,96.989,97,97.01,96.82,0.12K,0.03%
2019年7月23日,96.963,96.515,96.98,96.515,0.30K,0.48%
2019年7月22日,96.495,96.37,96.495,96.365,0.03K,0.13%
2019年7月19日,96.372,95.995,96.39,95.995,0.05K,0.38%
2019年7月18日,96.004,96.345,96.41,95.915,0.02K,-0.40%
2019年7月17日,96.393,96.52,96.545,96.35,0.09K,-0.20%
2019年7月16日,96.588,96.18,96.595,96.18,0.09K,0.51%
2019年7月15日,96.095,96.055,96.145,95.95,0.05K,0.13%
2019年7月12日,95.974,96.14,96.14,95.975,0.17K,-0.24%
2019年7月11日,96.207,96.08,96.24,96,0.01K,-0.04%
2019年7月10日,96.246,96.63,96.63,96.225,0.23K,-0.39%
2019年7月9日,96.625,96.605,96.715,96.605,0.02K,0.12%
2019年7月8日,96.514,96.435,96.535,96.385,0.13K,0.08%
2019年7月5日,96.435,95.975,96.505,95.975,0.31K,0.58%
2019年7月4日,95.876,95.835,95.925,95.835,0.03K,0.00%
2019年7月3日,95.876,95.845,95.9,95.785,0.38K,0.04%
2019年7月2日,95.839,96.005,96.005,95.745,0.14K,-0.14%
2019年7月1日,95.976,95.43,95.98,95.43,0.30K,0.75%
2019年6月28日,95.266,95.34,95.405,95.23,0.03K,-0.08%
2019年6月27日,95.342,95.4,95.5,95.285,0.19K,0.00%
2019年6月26日,95.343,95.43,95.43,95.34,0.01K,0.08%
2019年6月25日,95.263,95.095,95.49,94.975,0.14K,0.17%
2019年6月24日,95.102,95.255,95.28,95.125,0.04K,-0.23%
2019年6月21日,95.318,95.635,95.81,95.29,0.05K,-0.44%
2019年6月20日,95.738,96.3,96.3,95.7,0.07K,-0.43%
2019年6月19日,96.152,96.74,96.74,96.255,0.02K,-0.59%
2019年6月18日,96.718,96.75,96.81,96.7,0.02K,-0.34%
2019年6月17日,97.052,97.055,97.095,96.82,11.29K,-0.01%
2019年6月14日,97.065,96.53,97.085,96.44,35.66K,0.58%
2019年6月13日,96.509,96.46,96.57,96.345,28.94K,0.05%
2019年6月12日,96.46,96.135,96.475,96.035,11.83K,0.34%
2019年6月11日,96.135,96.195,96.345,96.095,9.72K,-0.07%
2019年6月10日,96.205,96.06,96.4,96.05,11.76K,0.24%
2019年6月7日,95.975,96.45,96.595,95.89,5.87K,-0.52%
2019年6月6日,96.475,96.765,96.925,96.23,2.43K,-0.29%
2019年6月5日,96.751,96.5,96.805,96.15,1.45K,0.28%
2019年6月4日,96.484,96.615,96.735,96.395,1.03K,-0.06%
2019年6月3日,96.54,97.105,97.175,96.5,0.90K,-0.61%
2019年5月31日,97.136,97.515,97.535,97.105,0.49K,-0.39%
2019年5月30日,97.513,97.475,97.625,97.46,0.11K,0.01%
2019年5月29日,97.5,97.285,97.56,97.235,0.21K,0.20%
2019年5月28日,97.302,97.065,97.305,97.065,0.14K,0.36%
2019年5月27日,96.952,96.95,97.125,96.88,0.14K,0.00%
2019年5月24日,96.952,97.205,97.23,96.9,0.30K,-0.25%
2019年5月23日,97.193,97.46,97.715,97.14,0.26K,-0.16%
2019年5月22日,97.346,97.335,97.415,97.2,0.04K,-0.02%
2019年5月21日,97.361,97.29,97.41,97.185,0.04K,0.14%
2019年5月20日,97.229,97.275,97.35,97.19,0.03K,-0.06%
2019年5月17日,97.289,97.16,97.315,97.135,0.03K,0.15%
2019年5月16日,97.143,96.845,97.105,96.76,0.04K,0.31%
2019年5月15日,96.846,96.82,96.95,96.75,0.03K,0.06%
2019年5月14日,96.792,96.62,96.8,96.575,0.07K,0.21%
2019年5月13日,96.585,96.54,96.605,96.3,0.12K,-0.01%
2019年5月10日,96.59,96.63,96.65,96.39,0.13K,-0.04%
2019年5月9日,96.629,96.83,96.895,96.49,0.05K,-0.23%
2019年5月8日,96.853,96.71,96.85,96.67,0.02K,-0.01%
2019年5月7日,96.864,96.7,96.925,96.61,0.07K,0.14%
2019年5月6日,96.733,96.8,96.865,96.71,0.06K,0.01%
2019年5月3日,96.72,97.015,97.28,96.69,0.10K,-0.34%
2019年5月2日,97.046,96.85,97.06,96.795,0.03K,0.18%
2019年5月1日,96.87,96.695,96.905,96.42,0.09K,0.22%
2019年4月30日,96.661,97.025,97.025,96.65,0.10K,-0.39%
2019年4月29日,97.041,97.22,97.275,97.035,0.03K,-0.15%
2019年4月26日,97.186,97.335,97.435,97.05,0.04K,-0.20%
2019年4月25日,97.379,97.235,97.5,97.2,0.09K,0.07%
2019年4月24日,97.315,96.75,97.26,96.745,0.13K,0.56%
2019年4月23日,96.77,96.45,96.89,96.45,0.09K,0.37%
2019年4月22日,96.41,96.515,96.525,96.485,0.02K,-0.20%
2019年4月18日,96.606,96.15,96.61,96.115,0.25K,0.50%
2019年4月17日,96.128,96.23,96.23,95.97,0.08K,0.01%
2019年4月16日,96.122,96,96.165,95.98,0.10K,0.09%
2019年4月15日,96.031,95.95,96.045,95.89,0.10K,-0.04%
2019年4月12日,96.073,96.145,96.145,95.84,0.07K,-0.21%
2019年4月11日,96.279,96.045,96.26,96.01,0.17K,0.25%
2019年4月10日,96.038,96.16,96.305,95.945,0.08K,-0.06%
2019年4月9日,96.091,96.11,96.11,95.975,0.03K,-0.04%
2019年4月8日,96.13,96.39,96.415,96.08,0.15K,-0.37%
2019年4月5日,96.487,96.37,96.55,96.355,0.06K,0.09%
2019年4月4日,96.405,96.17,96.415,96.115,0.33K,0.26%
2019年4月3日,96.152,96.25,96.255,96.05,0.02K,-0.27%
2019年4月2日,96.408,96.395,96.57,96.35,0.13K,0.13%
2019年4月1日,96.284,96.26,96.32,96.105,0.09K,-0.05%
2019年3月29日,96.33,96.22,96.375,96.11,0.07K,0.08%
2019年3月28日,96.249,95.885,96.3,95.855,0.42K,0.50%
2019年3月27日,95.773,95.8,96,95.75,0.04K,0.06%
2019年3月26日,95.715,95.53,95.72,95.52,0.01K,0.16%
2019年3月25日,95.558,95.65,95.65,95.475,0.10K,-0.09%
2019年3月22日,95.641,95.29,95.765,95.255,0.02K,0.17%
2019年3月21日,95.477,94.845,95.375,94.78,0.03K,0.82%
2019年3月20日,94.696,95.47,95.47,94.815,0.04K,-0.65%
2019年3月19日,95.316,95.365,95.375,95.275,0.03K,-0.69%
2019年3月18日,95.983,95.995,96.09,95.83,7.96K,-0.07%
2019年3月15日,96.05,96.195,96.25,95.935,14.74K,-0.20%
2019年3月14日,96.239,95.955,96.27,95.94,21.70K,0.27%
2019年3月13日,95.982,96.46,96.46,95.81,21.02K,-0.41%
2019年3月12日,96.379,96.49,96.725,96.275,9.91K,-0.29%
2019年3月11日,96.659,96.78,96.895,96.6,8.94K,-0.10%
2019年3月8日,96.759,97.06,97.09,96.54,7.57K,-0.37%
2019年3月7日,97.123,96.285,97.16,96.27,5.69K,0.85%
2019年3月6日,96.304,96.325,96.45,96.23,1.40K,0.01%
2019年3月5日,96.295,96.11,96.435,96.1,0.96K,0.20%
2019年3月4日,96.1,95.85,96.245,95.795,0.74K,0.14%
2019年3月1日,95.965,95.645,95.98,95.5,1.48K,0.43%
2019年2月28日,95.558,95.535,95.7,95.24,0.21K,-0.01%
2019年2月27日,95.563,95.425,95.58,95.305,0.20K,0.18%
2019年2月26日,95.39,95.79,95.835,95.365,0.20K,-0.42%
2019年2月25日,95.796,95.835,95.985,95.69,2.27K,-0.09%
2019年2月22日,95.882,95.99,96.135,95.82,2.95K,-0.08%
2019年2月21日,95.958,95.835,96.03,95.72,0.55K,0.18%
2019年2月20日,95.789,95.85,95.96,95.61,0.19K,-0.06%
2019年2月19日,95.844,96.18,96.395,95.77,0.17K,-0.39%
2019年2月18日,96.22,96.25,96.25,96.02,0.63K,0.00%
2019年2月15日,96.22,96.355,96.685,96.145,0.16K,-0.07%
2019年2月14日,96.285,96.485,96.575,96.285,0.30K,-0.13%
2019年2月13日,96.408,96,96.445,95.93,0.14K,0.45%
2019年2月12日,95.973,96.37,96.42,95.97,0.16K,-0.37%
2019年2月11日,96.327,95.895,96.365,95.89,0.16K,0.45%
2019年2月8日,95.891,95.83,95.95,95.74,0.09K,0.13%
2019年2月7日,95.764,95.66,95.91,95.655,0.09K,0.14%
2019年2月6日,95.627,95.335,95.65,95.275,0.15K,0.35%
2019年2月5日,95.292,95.02,95.32,95.02,0.09K,0.25%
2019年2月4日,95.05,94.83,95.115,94.825,0.07K,0.28%
2019年2月1日,94.78,94.805,95,94.6,0.07K,-0.01%
2019年1月31日,94.794,94.57,94.8,94.38,0.12K,0.29%
2019年1月30日,94.516,94.965,95.14,94.445,0.07K,-0.49%
2019年1月29日,94.986,94.83,95,94.83,0.10K,0.09%
2019年1月28日,94.904,94.895,95.06,94.79,0.16K,-0.05%
2019年1月25日,94.95,95.68,95.695,94.92,0.28K,-0.86%
2019年1月24日,95.777,95.185,95.84,95.185,0.28K,0.56%
2019年1月23日,95.247,95.465,95.515,95.2,0.20K,-0.21%
2019年1月22日,95.444,95.585,95.625,95.415,0.02K,-0.04%
2019年1月21日,95.478,95.44,95.55,95.43,0.04K,0.00%
2019年1月18日,95.478,95.16,95.515,95.16,0.08K,0.30%
2019年1月17日,95.188,95.205,95.375,95.125,0.08K,0.03%
2019年1月16日,95.157,95.23,95.23,95.09,0.03K,0.00%
2019年1月15日,95.155,94.64,95.36,94.64,0.22K,0.48%
2019年1月14日,94.702,94.755,94.795,94.635,0.07K,-0.06%
2019年1月11日,94.761,94.535,94.85,94.285,0.22K,0.14%
2019年1月10日,94.625,94.28,94.69,94.15,0.08K,0.35%
2019年1月9日,94.295,94.9,94.925,94.2,0.14K,-0.71%
2019年1月8日,94.974,94.81,95.1,94.785,0.11K,0.25%
2019年1月7日,94.738,95.08,95.08,94.745,0.11K,-0.54%
2019年1月4日,95.25,95.33,95.67,95.21,0.09K,-0.14%
2019年1月3日,95.383,95.805,95.805,95.32,0.16K,-0.55%
2019年1月2日,95.913,95.08,96.01,95,0.20K,0.71%
2018年12月31日,95.235,95.525,95.525,95.13,0.02K,-0.24%
2018年12月28日,95.46,95.47,95.47,95.255,0.02K,-0.04%
2018年12月27日,95.496,95.745,95.88,95.445,0.16K,-0.59%
2018年12月26日,96.063,95.545,96.13,95.545,0.06K,0.58%
2018年12月24日,95.507,95.825,95.825,95.43,0.03K,-0.45%
2018年12月21日,95.935,95.38,96.01,95.365,0.20K,0.73%
2018年12月20日,95.243,95.99,96,95.16,0.25K,-0.79%
2018年12月19日,95.999,95.87,96.02,95.595,0.04K,-0.06%
2018年12月18日,96.06,96.085,96.145,95.83,0.02K,-0.51%
2018年12月17日,96.55,96.89,96.94,96.505,12.70K,-0.37%
2018年12月14日,96.91,96.56,97.195,96.555,22.67K,0.38%
2018年12月13日,96.541,96.555,96.775,96.345,22.38K,0.04%
2018年12月12日,96.503,96.835,96.945,96.335,19.38K,-0.34%
2018年12月11日,96.833,96.625,96.995,96.31,14.27K,0.18%
2018年12月10日,96.663,96.1,96.68,95.775,17.81K,0.75%
2018年12月7日,95.941,96.215,96.35,95.925,2.31K,-0.29%
2018年12月6日,96.224,96.4,96.61,95.945,3.06K,-0.23%
2018年12月5日,96.445,96.37,96.59,96.2,0.74K,0.11%
2018年12月4日,96.337,96.3,96.5,95.75,1.15K,-0.07%
2018年12月3日,96.404,96.5,96.53,96.09,0.63K,-0.26%
2018年11月30日,96.656,96.195,96.685,96.12,0.48K,0.52%
2018年11月29日,96.159,96.235,96.38,96,0.33K,0.01%
2018年11月28日,96.151,96.77,96.9,96.065,0.83K,-0.60%
2018年11月27日,96.735,96.375,96.85,96.33,0.24K,0.32%
2018年11月26日,96.429,96.27,96.43,96.04,0.23K,0.16%
2018年11月23日,96.275,95.765,96.3,95.755,0.24K,0.25%
2018年11月22日,96.035,96.035,96.04,95.69,0.06K,0.00%
2018年11月21日,96.035,96.165,96.195,95.82,0.29K,-0.14%
2018年11月20日,96.166,95.565,96.19,95.385,0.48K,0.68%
2018年11月19日,95.516,95.72,95.855,95.42,0.30K,-0.26%
2018年11月16日,95.763,96.265,96.32,95.7,0.32K,-0.48%
2018年11月15日,96.221,96.235,96.65,96.055,0.31K,0.15%
2018年11月14日,96.074,96.315,96.655,96.07,0.30K,-0.50%
2018年11月13日,96.559,96.83,96.875,96.335,0.36K,-0.25%
2018年11月12日,96.802,96.29,96.93,96.24,0.35K,0.66%
2018年11月9日,96.169,95.915,96.23,95.885,0.15K,0.19%
2018年11月8日,95.985,95.42,96,95.355,0.13K,0.77%
2018年11月7日,95.247,95.2,95.67,94.91,0.35K,-0.32%
2018年11月6日,95.557,95.54,95.65,95.425,0.16K,0.04%
2018年11月5日,95.523,95.62,95.89,95.545,0.11K,-0.27%
2018年11月2日,95.783,95.595,95.845,95.25,0.48K,0.27%
2018年11月1日,95.526,96.175,96.175,95.435,0.20K,-0.85%
2018年10月31日,96.341,96.225,96.405,96.1,0.07K,0.11%
